_id,attemptCountsWriteFormula,attemptCountsWriteFormulas.attemptsWriteFormulaCF4,attemptCountsWriteFormulas.attemptsWriteFormulaCH4,attemptCountsWriteFormulas.attemptsWriteFormulaCaCl2,attemptCountsWriteFormulas.attemptsWriteFormulaH2O,attemptCountsWriteFormulas.attemptsWriteFormulaHCl,attemptCountsWriteFormulas.attemptsWriteFormulaKBr,attemptCountsWriteFormulas.attemptsWriteFormulaNaCl,attemptCountsWriteFormulas.attemptsWriteFormulaNaF,chooseBond.chooseBondCF4,chooseBond.chooseBondCH4,chooseBond.chooseBondCaCl2,chooseBond.chooseBondH2O.0,chooseBond.chooseBondH2O.1,chooseBond.chooseBondHCl,chooseBond.chooseBondKBr,chooseBond.chooseBondNaCl.0,chooseBond.chooseBondNaF,completionCountChooseBond,completionCountWriteFormula,periodicTableCount,userId,writeFormula.writeFormulaCF4,writeFormula.writeFormulaCH4,writeFormula.writeFormulaCaCl2,writeFormula.writeFormulaH2O.0,writeFormula.writeFormulaHCl,writeFormula.writeFormulaKBr,writeFormula.writeFormulaNaCl.0,writeFormula.writeFormulaNaF
ObjectId(5a7a4236907a2e50714dbfd4),0,0,0,0,0,0,0,0,0,[],[],[],,,[],[],,[],0,0,0,08408b9e-01cb-fa58-29fc-bdc703762111,[],[],[],,[],[],,[]
ObjectId(5a7a4236907a2e50714dbfd5),0,0,0,0,0,0,0,0,0,[],[],[],,,[],[],,[],0,0,0,21f31212-01d5-6fc1-42e9-a5ebf6e1a090,[],[],[],,[],[],,[]
ObjectId(5a7a4236907a2e50714dbfd6),0,0,0,0,0,0,0,0,0,[],[],[],,,[],[],,[],0,0,0,bfcd2e66-adb8-88d8-5be6-755e425d0e3b,[],[],[],,[],[],,[]
ObjectId(5a7a4236907a2e50714dbfd7),0,0,0,0,0,0,0,0,0,[],[],[],,,[],[],,[],0,0,0,13954110-31c9-0eed-35e0-9846256ff776,[],[],[],,[],[],,[]
ObjectId(5a7a4236907a2e50714dbfd8),0,0,0,0,0,0,0,0,0,[],[],[],,,[],[],,[],0,0,0,9e3b8e52-d19b-50c9-aa14-fce543cdbfaf,[],[],[],,[],[],,[]
ObjectId(5a7a4236907a2e50714dbfd9),0,0,0,0,0,0,0,0,0,[],[],[],,,[],[],,[],0,0,0,cc9a91f0-cb8e-77d4-25a2-ea5802fdb8a2,[],[],[],,[],[],,[]
ObjectId(5a7a4236907a2e50714dbfda),0,0,0,0,0,0,0,0,0,[],[],[],,,[],[],,[],0,0,0,64a024bd-283e-db11-ce27-f44800a5a1bc,[],[],[],,[],[],,[]
ObjectId(5a7a4236907a2e50714dbfdb),0,0,0,0,0,0,0,0,0,[],[],[],,,[],[],,[],0,0,0,a6a2ecd3-fb60-1beb-b601-b9d236e33c7a,[],[],[],,[],[],,[]
ObjectId(5a7a4236907a2e50714dbfdc),0,0,0,0,0,0,0,0,0,[],[],[],,,[],[],,[],0,0,0,0f083032-1076-6902-75d1-26e9d2e50145,[],[],[],,[],[],,[]
ObjectId(5a7a4236907a2e50714dbfdd),0,0,0,0,0,0,0,0,0,[],[],[],,,[],[],,[],0,0,0,efa76d7b-9c7e-5851-59b9-dcf2452d46a2,[],[],[],,[],[],,[]
ObjectId(5a7a4236907a2e50714dbfde),0,0,0,0,0,0,0,0,0,[],[],[],,,[],[],,[],0,0,0,b37db76c-3dad-d073-b49d-0bc54c913781,[],[],[],,[],[],,[]
ObjectId(5a7a4236907a2e50714dbfdf),5,0,0,0,2,1,0,2,0,[],[],[],2,3,[],[],29,[],3,2,0,cd1f4b3c-471e-00d9-7818-aecf5c536bb0,[],[],[],3,[],[],11,[]
ObjectId(5a7a4236907a2e50714dbfe0),0,0,0,0,0,0,0,0,0,[],[],[],,,[],[],,[],0,0,0,8e5a3347-c967-30f8-41e2-6aba65200f10,[],[],[],,[],[],,[]
ObjectId(5a7a4236907a2e50714dbfe1),0,0,0,0,0,0,0,0,0,[],[],[],,,[],[],,[],0,0,0,6a590b3c-872e-787d-e499-78443f9f99ef,[],[],[],,[],[],,[]
ObjectId(5a7a4236907a2e50714dbfe2),0,0,0,0,0,0,0,0,0,[],[],[],,,[],[],,[],0,0,0,258bf487-e472-a222-0d90-ea7fe01e4c17,[],[],[],,[],[],,[]
ObjectId(5a7a4236907a2e50714dbfe3),0,0,0,0,0,0,0,0,0,[],[],[],,,[],[],,[],0,0,0,14190b6e-004e-3024-9d6c-5722d9e1e9a8,[],[],[],,[],[],,[]
ObjectId(5a7a4236907a2e50714dbfe4),0,0,0,0,0,0,0,0,0,[],[],[],,,[],[],,[],0,0,0,e31a67e0-7a60-b849-48b0-83f4ae1a91b1,[],[],[],,[],[],,[]
ObjectId(5a7a4236907a2e50714dbfe5),0,0,0,0,0,0,0,0,0,[],[],[],,,[],[],,[],0,0,0,4f765cd9-9769-9ceb-eeae-5ee8e2962dde,[],[],[],,[],[],,[]
ObjectId(5a7a4236907a2e50714dbfe6),0,0,0,0,0,0,0,0,0,[],[],[],,,[],[],,[],0,0,0,13d6abb9-ac22-6c2d-b6b6-2941154151dc,[],[],[],,[],[],,[]
ObjectId(5a7a4236907a2e50714dbfe7),0,0,0,0,0,0,0,0,0,[],[],[],,,[],[],,[],0,0,0,6466bcf4-5801-1c58-d9fa-a0e9baa7fd32,[],[],[],,[],[],,[]
ObjectId(5a7a4236907a2e50714dbfe8),0,0,0,0,0,0,0,0,0,[],[],[],,,[],[],,[],0,0,0,a75ec64e-d4ce-08cc-2b0b-03bac3d2f438,[],[],[],,[],[],,[]
ObjectId(5a7a4236907a2e50714dbfe9),0,0,0,0,0,0,0,0,0,[],[],[],,,[],[],,[],0,0,0,f1dee3b5-8cf4-9117-057c-f596121f9c16,[],[],[],,[],[],,[]
ObjectId(5a7a4236907a2e50714dbfea),0,0,0,0,0,0,0,0,0,[],[],[],,,[],[],,[],0,0,0,294b10db-737c-d2d4-b1ef-07a60ae13340,[],[],[],,[],[],,[]
ObjectId(5a7a4236907a2e50714dbfeb),0,0,0,0,0,0,0,0,0,[],[],[],,,[],[],,[],0,0,0,4d1838b3-5ecb-f8de-10a9-b26e13d0b916,[],[],[],,[],[],,[]
ObjectId(5a7a4236907a2e50714dbfec),0,0,0,0,0,0,0,0,0,[],[],[],,,[],[],,[],0,0,0,86109e9a-8ccc-98fc-8925-864a8d8d73fb,[],[],[],,[],[],,[]
ObjectId(5a7a4236907a2e50714dbfed),0,0,0,0,0,0,0,0,0,[],[],[],,,[],[],,[],0,0,0,da09ff3b-f1cc-29d9-04e0-e71bfe3c1b27,[],[],[],,[],[],,[]
ObjectId(5a7a4236907a2e50714dbfee),0,0,0,0,0,0,0,0,0,[],[],[],,,[],[],,[],0,0,0,43235562-e74e-1f7e-6e3e-60a3e821ca54,[],[],[],,[],[],,[]
ObjectId(5a7a4236907a2e50714dbfef),0,0,0,0,0,0,0,0,0,[],[],[],,,[],[],,[],0,0,0,85838517-11b2-f37e-1386-93b20172a537,[],[],[],,[],[],,[]
ObjectId(5a7a4236907a2e50714dbff0),0,0,0,0,0,0,0,0,0,[],[],[],,,[],[],,[],0,0,0,b63eae9a-5ccc-28fc-d925-7971cbb3f18c,[],[],[],,[],[],,[]
ObjectId(5a7a4236907a2e50714dbff1),0,0,0,0,0,0,0,0,0,[],[],[],,,[],[],,[],0,0,0,ae3d8509-e076-3dd0-9418-ca3da6bc3acf,[],[],[],,[],[],,[]
ObjectId(5a7a4236907a2e50714dbff2),0,0,0,0,0,0,0,0,0,[],[],[],,,[],[],,[],0,0,0,1822ea68-a1df-57d5-35b7-c4e2e24ee904,[],[],[],,[],[],,[]
ObjectId(5a7a4236907a2e50714dbff3),0,0,0,0,0,0,0,0,0,[],[],[],,,[],[],,[],0,0,0,8b8959c8-176d-8913-d04d-2dc78063809c,[],[],[],,[],[],,[]
ObjectId(5a7a4236907a2e50714dbff4),0,0,0,0,0,0,0,0,0,[],[],[],,,[],[],,[],0,0,0,e41bb6e8-2463-992b-5bad-c96602a302d9,[],[],[],,[],[],,[]
ObjectId(5a7a4236907a2e50714dbff5),0,0,0,0,0,0,0,0,0,[],[],[],,,[],[],,[],0,0,0,7b1135d5-7ac7-1011-4cab-4a8de67cd811,[],[],[],,[],[],,[]
ObjectId(5a7a4236907a2e50714dbff6),0,0,0,0,0,0,0,0,0,[],[],[],,,[],[],,[],0,0,0,345f2f97-f59f-7d36-b582-a36a5dc30d99,[],[],[],,[],[],,[]
ObjectId(5a7a4236907a2e50714dbff7),22,4,3,4,3,3,3,1,1,[41],[4],[35],58,2,"[1,2]",[],,[],7,8,2,786779224.1500376277,[31],"[42,392]","[7,10]",64,[],[84],,[]
ObjectId(5a7a4236907a2e50714dbff8),1,0,0,0,1,0,0,0,0,[],[],[],,,[],[],,[],0,0,0,1654538984.1502473235,[],[],[],,[],[],,[]
ObjectId(5a7a4236907a2e50714dbff9),0,0,0,0,0,0,0,0,0,[],[],[],,,[],[],,[],0,0,0,458281070.1502988952,[],[],[],,[],[],,[]
ObjectId(5a7a4236907a2e50714dbffa),1,0,0,0,0,1,0,0,0,[],[],[],,,[],[],,[],0,0,0,1802275213.1502803148,[],[],[],,[],[],,[]
ObjectId(5a7a4236907a2e50714dbffb),0,0,0,0,0,0,0,0,0,[],[],[],,,[],[],,[],0,0,0,1002053900.1503922928,[],[],[],,[],[],,[]
ObjectId(5a7a4236907a2e50714dbffc),0,0,0,0,0,0,0,0,0,[],[],[],,,[],[],,[],0,0,0,1184709429.1493807292,[],[],[],,[],[],,[]
ObjectId(5a7a4236907a2e50714dbffd),4,0,0,0,1,1,0,2,0,[],[],[],,,[],[],2,[],1,1,0,1215951657.1499329521,[],[],[],,[],[],23,[]
ObjectId(5a7a4236907a2e50714dbffe),1,0,0,0,0,1,0,0,0,[],[],[],,,[],[],,[],0,0,0,708335028.1497520025,[],[],[],,[],[],,[]
ObjectId(5a7a4236907a2e50714dbfff),1,0,0,0,1,0,0,0,0,[],[],[],,,[],[],,[],0,0,0,747364885.1503923114,[],[],[],,[],[],,[]
ObjectId(5a7a4236907a2e50714dc000),2,0,0,0,1,1,0,0,0,[],[],[],,,[],[],,[],0,0,0,83413505.1503923038,[],[],[],,[],[],,[]
ObjectId(5a7a4236907a2e50714dc001),6,0,2,0,2,1,0,0,1,[],[176],[],,,[],[],,[],1,3,1,978018372.1492523614,[],[185],[],11,[],[],,[2]
ObjectId(5a7a4236907a2e50714dc002),0,0,0,0,0,0,0,0,0,[],[],[],,,[],[],,[],0,0,0,1041534933.1503999833,[],[],[],,[],[],,[]
ObjectId(5a7a4236907a2e50714dc003),8,1,1,1,2,1,1,1,0,[],[],[],12,,[],[],,[],1,1,0,1399727241.1504001338,[],[],[],2,[],[],,[]
ObjectId(5a7a4236907a2e50714dc004),0,0,0,0,0,0,0,0,0,[],[],[],,,[],[],,[],0,0,0,1938711166.1503360000,[],[],[],,[],[],,[]
ObjectId(5a7a4236907a2e50714dc005),2,1,0,0,0,0,0,1,0,[],[],[],,,[],[],,[],0,0,0,2087952583.1504036799,[],[],[],,[],[],,[]
ObjectId(5a7a4236907a2e50714dc006),1,0,0,0,0,1,0,0,0,[],[],[],,,[],[],,[],0,0,1,2132912352.1503999820,[],[],[],,[],[],,[]
ObjectId(5a7a4236907a2e50714dc007),2,0,0,0,1,1,0,0,0,[],[],[],,,[],[],,[],0,0,1,475887260.1503999675,[],[],[],,[],[],,[]
ObjectId(5a7a4236907a2e50714dc008),4,0,0,1,1,1,1,0,0,[],[],[],,,[],[],,[],0,0,1,708303957.1504004500,[],[],[],,[],[],,[]
ObjectId(5a7a4236907a2e50714dc009),3,0,0,0,0,3,0,0,0,[],[],[],,,[2],[],,[],1,0,0,1750085461.1492012405,[],[],[],,[],[],,[]
ObjectId(5a7a4236907a2e50714dc00a),0,0,0,0,0,0,0,0,0,[],[],[],,,[],[],,[],0,0,2,12193359.1496301851,[],[],[],,[],[],,[]
ObjectId(5a7a4236907a2e50714dc00b),0,0,0,0,0,0,0,0,0,[],[],[],,,[],[],,[],0,0,0,1125750747.1496405727,[],[],[],,[],[],,[]
ObjectId(5a7a4236907a2e50714dc00c),0,0,0,0,0,0,0,0,0,[],[],[],,,[],[],,[],0,0,0,1129819490.1496406017,[],[],[],,[],[],,[]
ObjectId(5a7a4236907a2e50714dc00d),0,0,0,0,0,0,0,0,0,[],[],[],,,[],[],,[],0,0,0,1440924894.1496407529,[],[],[],,[],[],,[]
ObjectId(5a7a4236907a2e50714dc00e),0,0,0,0,0,0,0,0,0,[],[],[],,,[],[],,[],0,0,0,1524040918.1496407848,[],[],[],,[],[],,[]
ObjectId(5a7a4236907a2e50714dc00f),0,0,0,0,0,0,0,0,0,[],[],[],,,[],[],,[],0,0,0,1653679797.1496405754,[],[],[],,[],[],,[]
ObjectId(5a7a4236907a2e50714dc010),0,0,0,0,0,0,0,0,0,[],[],[],,,[],[],,[],0,0,0,1702333984.1496405746,[],[],[],,[],[],,[]
ObjectId(5a7a4236907a2e50714dc011),0,0,0,0,0,0,0,0,0,[],[],[],,,[],[],,[],0,0,0,1828866238.1496406902,[],[],[],,[],[],,[]
ObjectId(5a7a4236907a2e50714dc012),0,0,0,0,0,0,0,0,0,[],[],[],,,[],[],,[],0,0,0,2063939547.1496406868,[],[],[],,[],[],,[]
ObjectId(5a7a4236907a2e50714dc013),0,0,0,0,0,0,0,0,0,[],[],[],,,[],[],,[],0,0,0,686264867.1496408287,[],[],[],,[],[],,[]
ObjectId(5a7a4236907a2e50714dc014),0,0,0,0,0,0,0,0,0,[],[],[],,,[],[],,[],0,0,0,693637474.1496405994,[],[],[],,[],[],,[]
ObjectId(5a7a4236907a2e50714dc015),0,0,0,0,0,0,0,0,0,[],[],[],,,[],[],,[],0,0,0,800390397.1496407404,[],[],[],,[],[],,[]
ObjectId(5a7a4236907a2e50714dc016),0,0,0,0,0,0,0,0,0,[],[],[],,,[],[],,[],0,0,0,810496047.1496408052,[],[],[],,[],[],,[]
ObjectId(5a7a4236907a2e50714dc017),0,0,0,0,0,0,0,0,0,[],[],[],,,[],[],,[],0,0,0,1680406769.1497555053,[],[],[],,[],[],,[]
ObjectId(5a7a4236907a2e50714dc018),0,0,0,0,0,0,0,0,0,[],[],[],,,[],[],,[],0,0,0,245969411.1497555071,[],[],[],,[],[],,[]
ObjectId(5a7a4236907a2e50714dc019),1,0,0,0,0,1,0,0,0,[],[],[],,,[],[],,[],0,0,0,1807003458.1498658915,[],[],[],,[],[],,[]
ObjectId(5a7a4236907a2e50714dc01a),1,0,0,0,0,1,0,0,0,[],[],[],,,[],[],,[],0,0,0,1158969261.1498800840,[],[],[],,[],[],,[]
ObjectId(5a7a4236907a2e50714dc01b),1,0,0,0,0,1,0,0,0,[],[],[],,,[],[],,[],0,0,0,1294185457.1498800962,[],[],[],,[],[],,[]
ObjectId(5a7a4236907a2e50714dc01c),1,0,0,0,0,1,0,0,0,[],[],[],,,[],[],,[],0,0,0,1588998711.1498800409,[],[],[],,[],[],,[]
ObjectId(5a7a4236907a2e50714dc01d),1,0,0,0,0,1,0,0,0,[],[],[],,,[],[],,[],0,0,0,595312626.1492076401,[],[],[],,[],[],,[]
ObjectId(5a7a4236907a2e50714dc01e),1,0,0,0,0,1,0,0,0,[],[],[],,,[],[],,[],0,0,0,894216970.1498800825,[],[],[],,[],[],,[]
ObjectId(5a7a4236907a2e50714dc01f),0,0,0,0,0,0,0,0,0,[],[],[],,,[],[],,[],0,0,0,965922317.1498800837,[],[],[],,[],[],,[]
ObjectId(5a7a4236907a2e50714dc020),1,0,0,0,0,1,0,0,0,[],[],[],,,[],[],,[],0,0,1,33537894.1487229422,[],[],[],,[],[],,[]
ObjectId(5a7a4236907a2e50714dc021),0,0,0,0,0,0,0,0,0,[],[],[],,,[],[],,[],0,0,0,1938711166.1498176000,[],[],[],,[],[],,[]
ObjectId(5a7a4236907a2e50714dc022),1,0,0,0,1,0,0,0,0,[],[],[],,,[],[],,[],0,0,0,1719741322.1496296251,[],[],[],,[],[],,[]
ObjectId(5a7a4236907a2e50714dc023),5,0,0,0,1,4,0,0,0,[],[],[],,,[],[],,[],0,0,1,532477139.1501593284,[],[],[],,[],[],,[]
